[2026-04-09 15:42:27] [main/INFO] [CustomSkinLoader Core]: "version.json": jar:file:/D:/Downloads/PBlossom-%e6%a2%a8%e8%8a%b1%e4%b8%8e%e8%90%bd%e5%ae%a2%e6%88%b7%e7%ab%af/.minecraft/versions/PBlossom%e6%a2%a8%e8%8a%b1%e4%b8%8e%e8%90%bd/PBlossom%e6%a2%a8%e8%8a%b1%e4%b8%8e%e8%90%bd.jar!/version.json
[2026-04-09 15:42:27] [main/INFO] [CustomSkinLoader Core]: MinecraftVersion: {name='1.21.1', world_version='3955', protocol_version='767'}
[2026-04-09 15:42:27] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_355, mixin: customskinloader.mixin.MixinGuiPlayerTabOverlay, result: true
[2026-04-09 15:42:27] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_760, mixin: customskinloader.mixin.MixinIImageBuffer, result: false
[2026-04-09 15:42:27] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_3298, mixin: customskinloader.mixin.MixinIResource, result: true
[2026-04-09 15:42:27] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_3300, mixin: customskinloader.mixin.MixinIResourceManager, result: true
[2026-04-09 15:42:27] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_972, mixin: customskinloader.mixin.MixinLayerCape, result: true
[2026-04-09 15:42:27] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_310, mixin: customskinloader.mixin.MixinMinecraft, result: true
[2026-04-09 15:42:27] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_1007, mixin: customskinloader.mixin.MixinRenderPlayer, result: true
[2026-04-09 15:42:27] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_1071$1, mixin: customskinloader.mixin.MixinSkinManager$1, result: true
[2026-04-09 15:42:27] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_1071$class_8686, mixin: customskinloader.mixin.MixinSkinManager$CacheKey, result: true
[2026-04-09 15:42:27] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_1071$class_8687, mixin: customskinloader.mixin.MixinSkinManager$TextureCache, result: true
[2026-04-09 15:42:27] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_1071, mixin: customskinloader.mixin.MixinSkinManager$V1, result: false
[2026-04-09 15:42:27] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_1071, mixin: customskinloader.mixin.MixinSkinManager$V2, result: true
[2026-04-09 15:42:27] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_1071, mixin: customskinloader.mixin.MixinSkinManager$V3, result: true
[2026-04-09 15:42:27] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_1046, mixin: customskinloader.mixin.MixinThreadDownloadImageData$V1, result: false
[2026-04-09 15:42:27] [main/INFO] [CustomSkinLoader Core]: target: net.minecraft.class_1046, mixin: customskinloader.mixin.MixinThreadDownloadImageData$V2, result: true
